RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         3289     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.152D+00  5.310D+01
    1    2     1     0  ---    0  3.1D-02  1.0D+00  1.354D+00  2.706D+01
    2    3     0     0  con    0  1.0D+00  1.7D+00  3.275D-01  6.503D+00
    3    4     0     0  con    0  1.0D+00  7.6D-01  1.726D-01  3.118D+00
    4    5     0     0  con    0  1.0D+00  8.3D-01  7.455D-02  1.340D+00
    5    6     0     0  con    0  1.0D+00  6.3D-01  3.278D-02  7.481D-01
    6    7     0     0  con    0  1.0D+00  4.7D-01  1.207D-02  5.654D-01
    7    8     0     0  con    0  1.0D+00  2.6D-01  3.373D-03  5.316D-01
    8    9     0     0  con    0  1.0D+00  9.3D-02  5.559D-04  5.287D-01
    9   10     0     0  con    0  1.0D+00  1.6D-02  3.252D-04  5.286D-01
   10   11     0     0  con    0  1.0D+00  4.4D-03  2.741D-04  5.286D-01
   11   12     0     0  con    0  1.0D+00  3.1D-02  1.815D-04  5.286D-01
   12   13     0     0  con    0  1.0D+00  4.3D-02  4.617D-04  5.285D-01
   13   14     0     0  con    0  1.0D+00  1.2D-01  9.721D-04  5.284D-01
   14   15     0     0  con    0  1.0D+00  4.7D-01  2.439D-03  5.282D-01
   15   16     0     0  con    0  1.0D+00  6.0D-01  3.215D-03  5.277D-01
   16   17     0     0  con    0  1.0D+00  1.6D+00  3.926D-03  5.263D-01
   17   18     0     0  con    0  1.0D+00  4.0D+00  3.850D-03  5.235D-01
   18   19     0     0  con    0  1.0D+00  3.1D+00  2.069D-03  5.219D-01
   19   21     0     0  con    1  4.2D-01  1.0D+00  9.837D-04  5.214D-01
   20   22     0     0  con    0  1.0D+00  3.3D-01  2.582D-04  5.213D-01
   21   23     0     0  con    0  1.0D+00  1.8D-01  7.731D-05  5.212D-01
